Model_ID,L11,L21,L12,L22,Sigma 11,Sigma 21,Sigma 12,Sigma 21,Alpha 11,Alpha 21,Alpha 12,Alpha 22,base intensity 1,base intensity 1,beta_1,beta_2,beta_3
b7db2bd209,1.061623931,0.93253541,0.329102784,0.275786251,0.940799654,0.585608184,0.746719539,0.207712278,0.031106519,0.549158573,0.160774201,1.617370009,0.550837338,0.550837338,1,1,1
f1a95dd0f9,0.848839998,0.709170043,0.430232018,0.347210646,0.985212684,0.326400787,0.973555744,0.211204574,0.012225003,1.117058039,0.023479218,1.60357964,0.742658496,0.742658496,1,1,1
fc72ec67f5,18.61391068,0.232124314,5.0669384,3.40E-07,0.999665499,0.995632827,0.999806225,0.997466445,0.000569178,0.017644159,5.65E-05,0.001764229,0.46450305,0.46450305,1,1,1
a699a1fa3b,22.60588455,2.507352114,4.326030731,1.28E-07,0.999914885,0.993027151,0.999987125,0.998939455,0.000130288,0.005444688,1.95E-05,0.00081805,0.708941877,0.708941877,1,1,1
18dee8e9ae,37.89058304,6.99860096,6.178657532,1.84E-11,0.999616504,0.002531014,1,0.996418953,0.000341166,3.104242802,2.11E-08,0.001315549,0.453998446,0.453998446,1,1,1
8609d34a3a,49.23991776,20.37177658,7.615887165,5.89E-10,0.99987638,0.000245724,1,0.998809576,0.00015526,0.48144713,1.55E-07,0.000618275,0.597776949,0.597776949,1,1,1
06d4ef296e,21.52194214,2.678104639,5.240400791,0.001520916,0.997366846,0.137061939,0.999994159,0.98633492,0.002849904,5.661030293,8.04E-08,0.008035347,0.459099978,0.459099978,0.5,1,1
f6eca854b8,29.09857559,14.43043423,4.903353214,0.013794011,0.999442518,0.004124,1,0.99537307,0.000149191,0.009181017,1.71E-05,0.001057193,0.701177776,0.701177776,0.5,1,1
2603642772,42.03241348,11.40563107,6.303818703,9.98E-06,0.999610603,0.001598752,1,0.995902956,0.000266375,1.463864923,8.74E-08,0.001089618,0.489026964,0.489026964,0.5,1,1
6315c16819,52.030056,21.80736732,7.72743845,2.55E-05,0.999822319,0.000357258,1,0.998304367,0.0001884,0.656365156,1.46E-07,0.000717156,0.597306013,0.597306013,0.5,1,1
352ba3f159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,1,1
1c2d311e8a,2.356982708,0.123209819,1.257562399,4.08E-06,0.326899439,0.435025275,0.331478864,0.440128952,0.053088281,0.079695269,0.051850572,0.077860974,0.570750356,0.570750356,10,1,1
51cdd9538c,5.786368847,0.594472468,3.244635582,3.48E-10,0.480631411,0.421277672,0.360713392,0.307403445,0.010615826,0.090384945,0.009152366,0.078344449,0.813231349,0.813231349,10,1,1
23103bf9a9,3.612940311,0.040095173,1.725936532,3.15E-10,0.365108967,0.546597481,0.362607151,0.543917477,0.024984451,0.455252945,0.212999776,1.857863545,0.574776113,0.574776113,10,1,1
e8356feae0,6.304834843,0.075426362,2.99960351,4.98E-16,0.545797408,0.549187124,0.38417232,0.387414396,0.017880501,0.550087094,0.026311675,0.734193981,0.758132815,0.758132815,10,1,1
1e02ecf1a5,1.657639503,0.066776514,1.160167217,0.000654252,0.797845125,0.836500049,0.477640718,0.542406976,0.138977721,0.448405385,0.291175574,0.825347006,0.752807021,0.752807021,10,1,1
e7c30c7a65,4.011450291,0.208217815,2.601585627,5.29E-07,0.720564008,0.771581888,0.51054436,0.577419162,0.054045979,0.580042541,0.11741247,1.016523957,0.383639425,0.383639425,10,1,1
030574f08f,2.131571054,0.0872069,1.094723463,4.37E-06,0.787641704,0.842742562,0.431736976,0.523293436,0.048365097,1.051307559,0.483446121,3.1925807,0.799484432,0.799484432,10,1,1
32088a81f4,7.604898453,1.925817251,2.540317774,2.34E-15,0.672140718,0.822565198,0.385528475,0.58656764,0.026332963,1.939825177,0.016225919,1.537374735,0.423828304,0.423828304,10,1,1
6e00842152,5.139094353,0.473551333,1.989633441,0.022299537,0.843254089,0.84615767,0.452000767,0.457489192,0.067936249,0.819990277,0.092824928,1.014488339,0.964741349,0.964741349,1,1,1
849902261f,4.955115318,1.129417062,2.118709326,0.10326568,0.700190127,0.763719976,0.490321249,0.571080387,0.063536644,0.952873647,0.115315355,1.378377676,0.436587453,0.436587453,1,1,1
ce5acbcdb0,3.727568626,0.514597476,1.823398113,0.082612813,0.801737785,0.835465908,0.372201711,0.42675513,0.044666823,1.597045422,0.226611048,3.132403612,0.967956066,0.967956066,1,1,1
c7ecc390d4,9.050081253,1.929779172,2.578622818,0.008383142,0.656821728,0.823685169,0.371373534,0.590498269,0.025062591,2.709535837,0.009534075,1.839415193,0.395516753,0.395516753,1,1,1
2b11df16af,4.840837002,0.627229631,1.947987318,0.040935837,0.833475709,0.831215501,0.47345683,0.46942091,0.002441853,1.81604898,1.83E-06,1.095292926,0.978731275,0.978731275,1,10,1
f233a12982,3.999282598,0.606498897,2.07948494,0.10346467,0.646784365,0.777196884,0.445975453,0.605282664,0.001016964,0.00156618,6.98E-06,1.08E-05,0.420281291,0.420281291,1,10,1
180a73b6d5,3.81594944,0.612065196,1.869923115,0.099211775,0.834594786,0.86184144,0.391869515,0.443408877,9.61E-08,2.369585276,0.000730015,3.263521194,0.880152583,0.880152583,1,10,1
a0d2f37126,8.00759697,0.943056464,2.808370829,0.008103493,0.666246355,0.820319116,0.350788206,0.552722812,9.96E-05,0.016248461,1.33E-07,2.35E-05,0.378123581,0.378123581,1,10,1
5c5d12ffca,17.97881317,0.595784366,4.979801178,1.83E-06,0.938965082,0.9233675,0.341553301,0.288905799,0.011186559,2.889845133,8.87E-05,0.125748485,1.387000442,1.387000442,1,1,1
25ca70b716,20.62915611,1.371482015,4.776255131,3.80E-07,0.757058799,0.875923753,0.321699411,0.517939329,0.007160645,3.789689541,8.22E-06,0.048284464,0.432887495,0.432887495,1,1,1
a279b52705,13.82247639,0.696584284,3.001914978,1.91E-05,0.897291839,0.903660297,0.227523163,0.240257785,0.003859362,6.333009243,0.000707248,4.642460346,1.431873083,1.431873083,1,1,1
894496fbca,23.00064278,0.736075103,4.70809412,1.23E-08,0.666343331,0.918647468,0.21292305,0.604684532,0.008026964,6.715815067,3.71E-07,0.037259024,0.314569652,0.314569652,1,1,1
dc15eccb28,0.693175375,0.693092346,0.693178713,0.693095684,0.688533306,0.762536108,0.468844444,0.561826706,0.693129778,0.693250239,0.693063557,0.693183959,0.682651401,0.682651401,1,1,1
fd89a87b1b,0.693168044,0.693108082,0.693224847,0.693164945,0.602216125,0.698852062,0.532519698,0.635849059,0.693332195,0.693163395,0.69336319,0.693194449,0.484142393,0.484142393,1,1,1
806aa98787,0.693112016,0.693109512,0.693166018,0.693163574,0.688466668,0.762496352,0.468765855,0.561771512,0.693088591,0.693135023,0.693159878,0.69320631,0.68267101,0.68267101,1,1,1
c14ba5ff31,0.693192601,0.693064451,0.693184912,0.693056822,0.602193356,0.69857657,0.532339454,0.635400236,0.693185151,0.693127215,0.693156362,0.693098366,0.483832866,0.483832866,1,1,1
98be2ce6b6,2.204231262,0.7828058,1.271987319,0.32079199,0.327194154,0.43494308,0.331575453,0.439823985,0.15356268,0.415665865,0.161770299,0.435164273,0.571947992,0.571947992,1,1,1
ae0016ba62,6.117826462,1.637614369,3.176043034,0.190588325,0.480706662,0.421778262,0.362039834,0.30900237,0.031954505,0.514960527,0.018399883,0.325860679,0.815994561,0.815994561,1,1,1
e0b3ad6419,2.151046038,0.69314307,1.507275105,0.380348116,0.380920887,0.548912585,0.371827751,0.539302588,0.129210666,0.693069518,0.330439061,1.345090151,0.55872941,0.55872941,1,1,1
1f9e097f48,5.080387592,0.693672299,2.76003623,0.088646725,0.546976328,0.548975646,0.391353488,0.393277854,0.072037205,0.693195522,0.071161367,0.686877549,0.758156657,0.758156657,1,1,1
ac30b2a615,0.693147182,0.693147182,0.693147182,0.693147182,0.326842427,0.434092492,0.331826866,0.439644367,0.974076986,0.974076986,0.974076986,0.974076986,0.576781631,0.576781631,1,1,1
fd43242a56,0.693147182,0.693147182,0.693147182,0.693147182,0.484966427,0.422971934,0.365412235,0.309516162,0.974076986,0.974076986,0.974076986,0.974076986,0.834825277,0.834825277,1,1,1
f85e56a3f0,0.693147182,0.693147182,0.693147182,0.693147182,0.388223529,0.543087184,0.379751801,0.53418684,0.974076986,0.974076986,0.974076986,0.974076986,0.55856353,0.55856353,1,1,1
356df43bfb,0.693147182,0.693147182,0.693147182,0.693147182,0.550403476,0.543883502,0.40432474,0.39800334,0.974076986,0.974076986,0.974076986,0.974076986,0.756129205,0.756129205,1,1,1
66c27e53f3,0.968759835,0.69327718,0.967595339,0.692338765,0.327249348,0.434847385,0.331793815,0.439909011,0.170182094,0.439874798,0.190675274,0.485885859,0.574339151,0.574339151,1,1,1
13aedda8a2,3.751874924,1.360158443,2.731758595,0.693110526,0.480580419,0.422343224,0.362201035,0.309754431,0.03169214,0.479290843,0.021876194,0.352331996,0.823813558,0.823813558,1,1,1
f3b47afe2c,5.312959194,2.723275661,2.720894814,0.693225086,0.451672643,0.543171704,0.463143766,0.554616213,0.012280638,0.077979632,0.020639431,0.128282443,1.071226597,1.071226597,1,1,1
267e1b8665,0.693303347,0.693101048,0.693245113,0.693042874,0.388758004,0.548509657,0.378359705,0.537596524,0.138441667,0.693334758,0.406927735,1.47783637,0.557517767,0.557517767,1,1,1
04217715ad,0.821529269,0.693203747,0.821354568,0.693047822,0.54545635,0.540025473,0.398272455,0.393039852,0.089579895,0.693686247,0.10926719,0.8035115,0.754575491,0.754575491,1,1,1
727e0b4f22,5.312959194,2.723275661,2.720894814,0.693225086,0.451672643,0.543171704,0.463143766,0.554616213,0.012280638,0.077979632,0.020639431,0.128282443,1.071226597,1.071226597,1,1,1
7e923d157b,2.310621262,0.692600667,2.283827305,0.677825212,0.423605025,0.538478851,0.487202406,0.601330161,0.054798715,0.694441915,0.023140306,0.34831652,1.103013277,1.103013277,1,1,1
b52ec1a4aa,2.703435183,0.693326354,2.702739,0.69295311,0.286840945,0.628033459,0.277068108,0.616688073,0.067963861,1.386477351,0.06650579,1.3645432,0.411695719,0.411695719,1,0.5,1
54534a6910,5.874688625,3.732066154,2.299822092,0.708315611,0.446188599,0.550188422,0.46612674,0.569990695,0.018662345,0.082298726,0.031581037,0.137778044,1.092095375,1.092095375,1,0.5,1
fb41ae3483,1.049581051,0.960671306,0.527984858,0.472794682,0.354948521,0.459577471,0.37458086,0.4806844,1.076961279,1.193781972,1.13856256,1.260202169,0.618210316,0.618210316,1,0.5,1
64e4ff35fa,0.730256736,0.730164349,0.693223596,0.693134487,0.381556243,0.509279788,0.384011567,0.511876702,1.052655935,1.386239409,1.234085083,1.605768561,0.589138925,0.589138925,1,0.5,1
a4e473e967,1.04938972,0.959748864,0.527793169,0.472166717,0.354924262,0.459815323,0.374575853,0.480944544,0.409486115,0.494487494,0.446455419,0.537284255,0.618136048,0.618136048,1,1,1
35aebdfcfc,0.730887711,0.730813503,0.693215191,0.693143606,0.381536245,0.512568057,0.382222354,0.51329422,0.298654675,0.693127811,0.57521379,1.173675179,0.586828053,0.586828053,1,1,1
26ab891d7a,1.763441563,1.76341486,1.732918262,1.732892036,0.382514387,0.509015203,0.385137588,0.511786819,1.477680445,1.732790351,1.585055113,1.852784157,0.590302885,0.590302885,0.4,0.4,1
5ef48324f8,1.756099105,1.73683989,1.677553654,1.658899784,0.331133127,0.439516306,0.344383121,0.454158485,1.577988148,1.672317624,1.670862436,1.769025922,0.594803274,0.594803274,0.4,0.4,1
a802c21da9,1.732864857,1.732851386,1.732904315,1.732890844,0.542482018,0.50185734,0.412573099,0.373730093,0.88953042,1.653943062,1.146662354,2.057345152,0.747649252,0.747649252,0.4,0.4,1
0ed6f141c2,1.784021854,1.732886076,1.753607869,1.703079343,0.492555588,0.423813611,0.369957179,0.307942033,0.730040431,1.593442202,1.039723992,2.142152071,0.839256465,0.839256465,0.4,0.4,1
82ba2d100c,1.38631916,1.38628602,1.38631916,1.386286139,0.547041535,0.501804531,0.415119708,0.371836454,3.465575218,3.465726852,3.465643167,3.465794563,0.74847424,0.74847424,0.5,0.2,1
dec7dd4a70,1.386361361,1.386273861,1.386337638,1.386250138,0.493716121,0.423862249,0.370367169,0.307370067,2.90879941,3.320291996,3.041228533,3.465787172,0.840346217,0.840346217,0.5,0.2,1
1dfaa2bc07,1.732910156,1.732905388,1.732889056,1.732884526,0.544929743,0.501960218,0.413933933,0.372831076,1.74678719,2.253041267,1.875022531,2.406910896,0.747895896,0.747895896,0.4,0.3,1
520ce64a02,1.735389233,1.732858062,1.735390902,1.732859731,0.493026644,0.4237912,0.370113701,0.307664037,1.246794224,2.137260437,1.60868299,2.671840191,0.839797378,0.839797378,0.4,0.3,1
368d90ac89,1.732927799,1.732889652,1.732866168,1.73282814,0.393360913,0.540959895,0.385912508,0.533172965,2.230226994,2.31029129,2.230471134,2.31054163,0.563768625,0.563768625,0.4,0.3,1
50658df916,3.203784227,1.732547164,3.203701973,1.73249054,0.640945733,0.712705433,0.358947635,0.437615335,0.076010823,2.312214613,0.07590998,2.309976816,0.600033879,0.600033879,0.4,0.3,1
d2e8eee296,5.268264771,3.696419477,2.855298519,1.732704163,0.488723516,0.432942182,0.357459009,0.307644784,0.037277602,0.238038719,0.041929539,0.266764551,0.763990402,0.763990402,0.4,0.3,1
7a66a0e0a5,1.761800528,1.761768699,1.732932329,1.732900977,0.382160515,0.507177293,0.385988057,0.511220872,2.30644846,2.310524225,2.30645895,2.310534477,0.591762662,0.591762662,0.4,0.3,1
1aebc966cf,1.732910156,1.732905388,1.732889056,1.732884526,0.544929743,0.501960218,0.413933933,0.372831076,1.74678719,2.253041267,1.875022531,2.406910896,0.747895896,0.747895896,0.4,0.3,1
deb6d6845c,1.735389233,1.732858062,1.735390902,1.732859731,0.493026644,0.4237912,0.370113701,0.307664037,1.246794224,2.137260437,1.60868299,2.671840191,0.839797378,0.839797378,0.4,0.3,1
4e89433e78,1.761122465,1.761106968,1.732889533,1.732874155,0.382323593,0.507428944,0.385723263,0.51102066,2.303525209,2.310421228,2.303697586,2.310594082,0.591582954,0.591582954,0.4,0.3,1
abeaca8cee,1.732867479,1.732846618,1.732863665,1.732842803,0.544884443,0.502481937,0.414123207,0.373544574,1.746377707,2.250917196,1.875604153,2.405898809,0.747960091,0.747960091,0.4,0.3,1
426b15ca05,1.851179123,1.732912302,1.759031653,1.644906878,0.493039757,0.423924118,0.370109141,0.30776462,1.241981745,2.126375437,1.601384878,2.657150745,0.839637995,0.839637995,0.4,0.3,1
29d2b68b83,1.756988168,1.756953001,1.732892394,1.732857466,0.382444143,0.507640958,0.385441184,0.510807574,2.301084757,2.310518742,2.301168203,2.310602427,0.591451466,0.591451466,0.4,0.3,1
ccf6dd9a40,1.732864857,1.732851386,1.732904315,1.732890844,0.542482018,0.50185734,0.412573099,0.373730093,0.88953042,1.653943062,1.146662354,2.057345152,0.747649252,0.747649252,0.4,0.4,1
31f57ff5ac,1.784021854,1.732886076,1.753607869,1.703079343,0.492555588,0.423813611,0.369957179,0.307942033,0.730040431,1.593442202,1.039723992,2.142152071,0.839256465,0.839256465,0.4,0.4,1
41695f5fc3,1.732903361,1.732801795,1.732905984,1.732804418,0.542127192,0.50180006,0.41239652,0.373840481,0.872834444,1.628832221,1.116757631,2.013842106,0.747503102,0.747503102,0.4,0.4,1
86787d8079,1.756924987,1.732867479,1.756941557,1.73288393,0.492482901,0.423812032,0.369923532,0.307971835,0.722761571,1.556008339,1.008375168,2.060006857,0.83946985,0.83946985,0.4,0.4,1
4440c46c00,1.732862115,1.73287344,1.732872009,1.732883334,0.543032646,0.501805246,0.412861824,0.373440802,1.065342784,1.799124241,1.289608359,2.127274036,0.747720659,0.747720659,0.4,0.37,1
d382641d65,1.769631147,1.732979417,1.747654915,1.711319685,0.492676169,0.423804522,0.369993865,0.307864755,0.844849944,1.722271562,1.171423912,2.27177453,0.83940798,0.83940798,0.4,0.37,1
b1af84653b,1.732895374,1.732821584,1.732916832,1.732843041,0.542799294,0.501842141,0.4127675,0.373604327,1.042555451,1.772149682,1.273719788,2.112436295,0.747590125,0.747590125,0.4,0.37,1
26c017fcc7,1.743364453,1.732909679,1.743321061,1.732866168,0.49259761,0.423801392,0.369953692,0.307892412,0.835230231,1.680600286,1.136197329,2.18497777,0.839613259,0.839613259,0.4,0.37,1
e39d47b642,1.732879758,1.732864857,1.732845306,1.732830405,0.544003129,0.501841068,0.413431913,0.373109311,1.388562441,2.031432629,1.57519269,2.27700901,0.747841537,0.747841537,0.4,0.33,1
95c9d6851e,1.751207113,1.7329427,1.741457582,1.723263383,0.492857963,0.423792273,0.370051831,0.307752162,1.044484258,1.935005426,1.393153787,2.480896711,0.839639068,0.839639068,0.4,0.33,1
c0ba03ad68,1.732832432,1.732867002,1.73286438,1.732898951,0.543885529,0.501939774,0.413387179,0.373269439,1.370816231,2.014776707,1.556699634,2.260408401,0.74763155,0.74763155,0.4,0.33,1
048898a1f8,1.733186841,1.732825279,1.73320663,1.732844949,0.492783785,0.423804015,0.370015353,0.307792336,1.030954719,1.886975288,1.352345824,2.388104916,0.839821994,0.839821994,0.4,0.33,1
fc178df10d,1.73288393,1.732910395,1.732819915,1.732846379,0.542403817,0.502320468,0.412742168,0.374400914,0.889223039,1.653427958,1.146384001,2.056899548,0.747688234,0.747688234,0.4,0.4,1
dbf292e3e6,1.92596221,1.732950687,1.791258574,1.607800007,0.492558271,0.423938811,0.369943976,0.308037013,0.726733804,1.584893465,1.032586694,2.127150536,0.839040518,0.839040518,0.4,0.4,1
7f7178bdf2,1.73285532,1.732874393,1.732878089,1.732897043,0.542047143,0.502267838,0.412549406,0.374501884,0.872472286,1.628543377,1.116378903,2.013606787,0.747572482,0.747572482,0.4,0.4,1
2482374ac7,1.902372241,1.732842565,1.784972787,1.622828245,0.492495805,0.423936158,0.369909436,0.308056295,0.719181836,1.545816064,1.000535727,2.042399406,0.83927995,0.83927995,0.4,0.4,1
7468d7a33d,1.732845902,1.73287499,1.732837081,1.732866168,0.542959154,0.502319753,0.413042545,0.374166369,1.064736724,1.798509121,1.289472818,2.127403259,0.747805178,0.747805178,0.4,0.37,1
