Model_ID,L11,L21,L12,L22,Sigma 11,Sigma 21,Sigma 12,Sigma 21,s 11,s12,s21,s22,beta_1,beta_2,beta_3
c0db575697,0.691121757,0.865716517,0.245390847,0.318025172,0.693586111,0.46409145,0.239520669,0.148153752,1.374264359,2.006463766,1.481637716,2.129867315,0.6,1,1
e1d1f32f74,0.667672873,0.820395291,0.352851719,0.442829102,0.694228888,0.650738239,0.178417251,0.164426178,1.669810057,2.309235573,3.909257412,4.642087936,0.6,1,1
76fdb9ddce,1.160096526,1.256602526,0.747199118,0.817290008,1.732829928,1.73284936,1.732837081,1.732856512,1.297079325,2.343875408,0.237013221,0.666710258,0.6,1,0.4
af2ded8791,0.973440588,1.09449935,0.419947982,0.481998861,1.732839227,1.732871056,1.732847929,1.732879758,1.548509598,2.523489237,0.811360955,1.583921194,0.6,1,0.4
ff73c18226,0.796313941,0.861145139,0.215039417,0.235974327,1.732900977,1.732806444,1.732906818,1.732812166,1.208423018,2.088598967,0.830498993,1.589107394,0.6,1,0.4
c074d49db9,0.82812047,0.963227034,0.246860594,0.295620024,1.732911468,1.732970715,1.732762575,1.732821941,2.012328386,2.36594224,4.414196491,4.808760166,0.6,1,0.4
67c199d584,0.916429341,0.990836084,0.38088733,0.417241722,0.990126431,0.990254581,0.990086496,0.990214646,1.696193933,2.544444799,1.002820492,1.713566661,0.6,1,0.7
b2c127ecd0,0.916429341,0.990836084,0.38088733,0.417241722,0.990126431,0.990254581,0.990086496,0.990214646,1.696193933,2.544444799,1.002820492,1.713566661,0.6,1,0.7
45a1b9501d,0.705322802,0.836481392,0.298529059,0.362153709,0.866748214,0.866185188,0.547875524,0.547475994,1.93649745,2.559738874,4.624982834,5.318533897,0.6,1,0.8
31d4980ecf,0.899896204,0.962878406,0.369676799,0.40000397,0.86626482,0.86638242,0.866285086,0.866402626,1.738367796,2.559427977,1.055062175,1.751556039,0.6,1,0.8
