Dataset,Epochs,Batch Size,D_Model,D_Type,Learning Rate,Train loss,Val Loss,Test Loss,Val RMSE,Test RMSE,Last Val RMSE,Last Test RMSE,LengthScale,Alpha,l,s,Softmax,Time2Vec,
sin_hawkes,250,40,64,32,0.001,2.714071989,2.778758764,2.786567926,5.338011742,4.762263775,4.699632645,4.710130215,0.467789948,1,0.260150284,0.495131195,FALSE,FALSE,1
sin_hawkes,250,40,64,32,0.001,2.757122517,2.777334452,2.791012526,5.453838825,4.802154541,4.726388454,4.735505104,0.899104297,1,0.652742445,0.037287477,FALSE,TRUE,1
sin_hawkes,250,40,128,32,0.001,2.757122517,2.777334452,2.791012526,5.453838825,4.802154541,4.726388454,4.735505104,1.008,1,1.62,0.9,FALSE,TRUE,1
sin_hawkes,250,40,128,32,NA,NA,NA,NA,NA,NA,NA,4.735505104,1.6,1,0.12,0.52,TRUE,FALSE,1
sin_hawkes,250,40,128,32,NA,NA,NA,NA,NA,NA,NA,NA,3.47,1,0.37,0.001,TRUE,TRUE,
power_hawkes,250,40,128,32,NA,NA,NA,NA,NA,NA,NA,NA,0.13,1,1.26,0.37,FALSE,FALSE,
power_hawkes,250,40,128,32,NA,NA,NA,NA,NA,NA,NA,NA,3.83,1,0.66,0.04,FALSE,TRUE,
power_hawkes,250,40,128,32,0.001,2.86185622215271,3.0780317783355713,3.127822160720825,6.881007194519043,6.3245720863342285,5.607498645782471,5.840615272521973,0.9892435073852539,1,0.0936821773648262,0.46517413854599,True,False,1
sin_hawkes,250,40,128,32,0.001,2.7088654041290283,2.7823801040649414,2.790079116821289,5.391303062438965,4.821315288543701,4.73225736618042,4.74152135848999,0.3943280279636383,1,0.852403461933136,1,False,False,1
sin_hawkes,250,40,128,32,0.001,2.646427631378174,2.8637969493865967,2.8790552616119385,5.439642429351807,4.735687732696533,4.773251056671143,4.770186901092529,2.3824150562286377,1,0.29742076992988586,1,True,False,1
power_hawkes,250,40,128,32,0.001,2.922739028930664,2.956458330154419,3.0202198028564453,6.851738929748535,6.624049663543701,5.592869281768799,5.820375919342041,0.4065604507923126,1,1.3891929388046265,1,False,False,1
sin_hawkes,5,40,128,32,0.0001,2.7662463188171387,2.785698890686035,2.7998170852661133,5.475194454193115,4.797159671783447,4.753077030181885,4.7595367431640625,0.18418315052986145,1,1.2008256912231445,1,True,False,1
sin_hawkes,5,40,128,32,0.0001,2.7662463188171387,2.785698890686035,2.7998170852661133,5.475194454193115,4.797159671783447,4.753077030181885,4.7595367431640625,0.18418315052986145,1,1.2008256912231445,1,True,False,1
sin_hawkes,250,40,128,32,0.001,2.7085413932800293,2.7836833000183105,2.792046546936035,5.372743606567383,4.811521053314209,4.728078842163086,4.739683628082275,0.36527568101882935,1,0.5167666673660278,1,False,False,1
sin_hawkes,250,40,128,32,0.001,2.761737108230591,2.7816925048828125,2.795172691345215,5.497197151184082,4.837716102600098,4.766888618469238,4.7748613357543945,0.9391422867774963,1,1.5964934825897217,1,False,True,1
sin_hawkes,250,40,128,32,0.001,2.7085413932800293,2.7836833000183105,2.792046546936035,5.372743606567383,4.811521053314209,4.728078842163086,4.739683628082275,0.36527568101882935,1,0.5167666673660278,1,False,False,1
sin_hawkes,250,40,128,32,0.001,2.761737108230591,2.7816925048828125,2.795172691345215,5.497197151184082,4.837716102600098,4.766888618469238,4.7748613357543945,0.9391422867774963,1,1.5964934825897217,1,False,True,1
sin_hawkes,250,40,128,32,0.001,2.7085413932800293,2.7836833000183105,2.792046546936035,5.372743606567383,4.811521053314209,4.728078842163086,4.739683628082275,0.36527568101882935,1,0.5167666673660278,1,False,False,1
sin_hawkes,250,40,128,32,0.001,2.761737108230591,2.7816925048828125,2.795172691345215,5.497197151184082,4.837716102600098,4.766888618469238,4.7748613357543945,0.9391422867774963,1,1.5964934825897217,1,False,True,1
sin_hawkes,250,40,128,32,0.001,2.6469807624816895,2.865186929702759,2.8725619316101074,5.442562580108643,4.77285623550415,4.764393329620361,4.757381916046143,1.4910043478012085,1,0.03813328593969345,1,True,False,1
sin_hawkes,250,40,128,32,0.001,2.763113498687744,2.785494089126587,2.7953529357910156,5.572684288024902,4.915519714355469,4.77109432220459,4.7799577713012695,3.791832208633423,1,0.0020422833040356636,1,True,True,1
sin_hawkes,250,40,128,32,0.001,2.6469807624816895,2.865186929702759,2.8725619316101074,5.442562580108643,4.77285623550415,4.764393329620361,4.757381916046143,1.4910043478012085,1,0.03813328593969345,1,True,False,1
sin_hawkes,250,40,128,32,0.001,2.763113498687744,2.785494089126587,2.7953529357910156,5.572684288024902,4.915519714355469,4.77109432220459,4.7799577713012695,3.791832208633423,1,0.0020422833040356636,1,True,True,1
sin_hawkes,250,40,128,32,0.001,2.6469807624816895,2.865186929702759,2.8725619316101074,5.442562580108643,4.77285623550415,4.764393329620361,4.757381916046143,1.4910043478012085,1,0.03813328593969345,1,True,False,1
sin_hawkes,250,40,128,32,0.001,2.763113498687744,2.785494089126587,2.7953529357910156,5.572684288024902,4.915519714355469,4.77109432220459,4.7799577713012695,3.791832208633423,1,0.0020422833040356636,1,True,True,1
power_hawkes,250,40,128,32,0.001,2.9227349758148193,2.961421489715576,3.026012659072876,6.8875203132629395,6.649613857269287,5.607317924499512,5.838784217834473,0.40749603509902954,1,1.2096258401870728,1,False,False,1
power_hawkes,250,40,128,32,0.001,3.0218682289123535,2.972630023956299,3.0420992374420166,7.093277454376221,6.768317222595215,5.707846164703369,5.933890342712402,3.860734701156616,1,1.8365633487701416,1,False,True,1
power_hawkes,250,40,128,32,0.001,2.9227349758148193,2.961421489715576,3.026012659072876,6.8875203132629395,6.649613857269287,5.607317924499512,5.838784217834473,0.40749603509902954,1,1.2096258401870728,1,False,False,1
power_hawkes,250,40,128,32,0.001,3.0218682289123535,2.972630023956299,3.0420992374420166,7.093277454376221,6.768317222595215,5.707846164703369,5.933890342712402,3.860734701156616,1,1.8365633487701416,1,False,True,1
power_hawkes,250,40,128,32,0.001,2.9227349758148193,2.961421489715576,3.026012659072876,6.8875203132629395,6.649613857269287,5.607317924499512,5.838784217834473,0.40749603509902954,1,1.2096258401870728,1,False,False,1
power_hawkes,250,40,128,32,0.001,3.0218682289123535,2.972630023956299,3.0420992374420166,7.093277454376221,6.768317222595215,5.707846164703369,5.933890342712402,3.860734701156616,1,1.8365633487701416,1,False,True,1
power_hawkes,250,40,128,32,0.001,2.8589260578155518,3.0772950649261475,3.130161762237549,6.918035984039307,6.354739665985107,5.623267650604248,5.838960647583008,0.9490588903427124,1,0.03127698600292206,1,True,False,1
power_hawkes,250,40,128,32,0.001,3.0192723274230957,2.9702162742614746,3.037086248397827,7.10404109954834,6.785163402557373,5.699769020080566,5.924183368682861,4.608460903167725,1,0.03948325291275978,1,True,True,1
power_hawkes,250,40,128,32,0.001,2.8589260578155518,3.0772950649261475,3.130161762237549,6.918035984039307,6.354739665985107,5.623267650604248,5.838960647583008,0.9490588903427124,1,0.03127698600292206,1,True,False,1
power_hawkes,250,40,128,32,0.001,3.0192723274230957,2.9702162742614746,3.037086248397827,7.10404109954834,6.785163402557373,5.699769020080566,5.924183368682861,4.608460903167725,1,0.03948325291275978,1,True,True,1
power_hawkes,250,40,128,32,0.001,2.8589260578155518,3.0772950649261475,3.130161762237549,6.918035984039307,6.354739665985107,5.623267650604248,5.838960647583008,0.9490588903427124,1,0.03127698600292206,1,True,False,1
power_hawkes,250,40,128,32,0.001,3.0192723274230957,2.9702162742614746,3.037086248397827,7.10404109954834,6.785163402557373,5.699769020080566,5.924183368682861,4.608460903167725,1,0.03948325291275978,1,True,True,1
sin_hawkes,100,40,128,32,0.001,2.724458694458008,2.779376268386841,2.7868733406066895,5.356762409210205,4.753805637359619,4.693301677703857,4.69846248626709,0.22138091921806335,1,1.211199402809143,1,False,False,1
